 População Residente - Rio de Janeiro;;;;;;;;;;;;;;;;;;;
População residente por Faixa Etária e Sexo;;;;;;;;;;;;;;;;;;;
Sexo: Masculino, Feminino;;;;;;;;;;;;;;;;;;;
Período:2010;;;;;;;;;;;;;;;;;;;
Faixa Etária;Masculino;Feminino;Total;;;;;;;;;;;;;;;;
Menor 1 ano;99210;95990;195200;;;;;;;;;;;;;;;;
1 a 4 anos;401592;390823;792415;;;;;;;;;;;;;;;;
5 a 9 anos;555463;537528;1092991;;;;;;;;;;;;;;;;
10 a 14 anos;662506;642527;1305033;;;;;;;;;;;;;;;;
15 a 19 anos;638420;631856;1270276;;;;;;;;;;;;;;;;
20 a 29 anos;1311708;1355428;2667136;;;;;;;;;;;;;;;;
30 a 39 anos;1203989;1309208;2513197;;;;;;;;;;;;;;;;
40 a 49 anos;1058659;1186159;2244818;;;;;;;;;;;;;;;;
50 a 59 anos;836449;991806;1828255;;;;;;;;;;;;;;;;
60 a 69 anos;496422;633664;1130086;;;;;;;;;;;;;;;;
70 a 79 anos;260375;385306;645681;;;;;;;;;;;;;;;;
80 anos e mais;100886;203955;304841;;;;;;;;;;;;;;;;
Total;7625679;8364250;15989929;;;;;;;;;;;;;;;;
