 População Residente - Rio de Janeiro;;;;;;;;;;;;;;;;;
População residente por Faixa Etária e Sexo;;;;;;;;;;;;;;;;;
Município: 330455 Rio de Janeiro;;;;;;;;;;;;;;;;;
Sexo: Masculino, Feminino;;;;;;;;;;;;;;;;;
Período:2000;;;;;;;;;;;;;;;;;
Faixa Etária;Masculino;Feminino;Total;;;;;;;;;;;;;;
Menor 1 ano;45116;43500;88616;;;;;;;;;;;;;;
1 a 4 anos;182955;175734;358689;;;;;;;;;;;;;;
5 a 9 anos;220179;213728;433907;;;;;;;;;;;;;;
10 a 14 anos;222911;219459;442370;;;;;;;;;;;;;;
15 a 19 anos;250932;254532;505464;;;;;;;;;;;;;;
20 a 29 anos;483180;506910;990090;;;;;;;;;;;;;;
30 a 39 anos;426061;478459;904520;;;;;;;;;;;;;;
40 a 49 anos;372554;447059;819613;;;;;;;;;;;;;;
50 a 59 anos;250352;312646;562998;;;;;;;;;;;;;;
60 a 69 anos;169297;234984;404281;;;;;;;;;;;;;;
70 a 79 anos;94637;155338;249975;;;;;;;;;;;;;;
80 anos e mais;29969;67412;97381;;;;;;;;;;;;;;
Total;2748143;3109761;5857904;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
