 População Residente - Rio de Janeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
População residente por Sexo e Ano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:1980-2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Masculino;5524041;5573313;5635002;5696890;5758605;5820136;5881133;5941178;5999974;6057327;6113235;6177601;6222388;6302941;6359396;6414456;6447635;6520774;6582307;6643936;6900335;6981562;7061877;7136931;7211674;7381430;7467871;7531335;7594357;7657302;7625679;7684746;7741923
Feminino;5767590;5835449;5916539;5997924;6079106;6160006;6240108;6319146;6396553;6471884;6545444;6630105;6693833;6762327;6822906;6881986;6958673;7034878;7099124;7163432;7490947;7576999;7662602;7742213;7821643;8001992;8093849;8207201;8278005;8353084;8364250;8427932;8489442
Total;11291631;11408762;11551541;11694814;11837711;11980142;12121241;12260324;12396527;12529211;12658679;12807706;12916221;13065268;13182302;13296442;13406308;13555652;13681431;13807368;14391282;14558561;14724479;14879144;15033317;15383422;15561720;15738536;15872362;16010386;15989929;16112678;16231365
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
